순위,변수,분할규칙,유형,n_left,n_right,SSE_left,SSE_right,SSE_split,감소량,감소율(%)
1,Unnamed: 0 (제외대상),Unnamed: 0 <= 206668,식별자,206668,93485,2896915584784.3633,15723186729508.562,18620102314292.926,136014799380835.08,87.9586677327195
2,class,class == Business,이진,93487,206666,15724637003640.75,2896190574676.295,18620827578317.047,136014074116810.95,87.95819871568895
3,airline,airline == Vistara,명목(수준vs나머지),127859,172294,84036453404026.25,50466793410555.81,134503246814582.06,20131654880545.938,13.01882994062796
4,airline,airline == Indigo,명목(수준vs나머지),43120,257033,460755552061.5388,141974265147394.5,142435020699456.03,12199880995671.969,7.889474408387291
5,duration,duration <= 9.29,수치형,117216,182937,38719728162394.01,107253758989475.11,145973487151869.12,8661414543258.875,5.601202864496512
6,airline,airline == GO_FIRST,명목(수준vs나머지),23173,276980,146435918696.66333,148657873221052.5,148804309139749.16,5830592555378.844,3.770554054397245
7,stops,stops == zero,순서형,36004,264149,4062877531996.977,145148570324613.7,149211447856610.66,5423453838517.344,3.507263741280095
8,airline,airline == AirAsia,명목(수준vs나머지),16098,284055,128378204711.81918,149706341319728.4,149834719524440.22,4800182170687.781,3.1042035905656205
9,airline,airline == SpiceJet,명목(수준vs나머지),9011,291142,81070020990.17114,152543541743904.8,152624611764894.97,2010289930233.0312,1.3000234152807486
10,days_left,days_left <= 14.5,수치형,74918,225235,37268644344989.016,115745860016719.38,153014504361708.38,1620397333419.625,1.0478859013434987
11,arrival_time,arrival_time == Late_Night,명목(수준vs나머지),14001,286152,3765036646613.4927,149515057864944.7,153280094511558.2,1354807183569.8125,0.8761328579242066
12,airline,airline == Air_India,명목(수준vs나머지),80892,219261,35351301346018.45,118524999499459.2,153876300845477.66,758600849650.3438,0.49057544017195476
13,stops,"stops in {zero, one}",순서형,286867,13286,149851293781007.25,4145300298701.307,153996594079708.56,638307615419.4375,0.4127836655387794
14,arrival_time,arrival_time == Early_Morning,명목(수준vs나머지),15417,284736,5505988636218.89,148563856551806.3,154069845188025.2,565056507102.8125,0.3654133063807648
15,arrival_time,arrival_time == Evening,명목(수준vs나머지),78323,221830,43233605674301.77,110909268021195.06,154142873695496.84,492027999631.15625,0.3181868997473927
16,destination_city,destination_city == Delhi,명목(수준vs나머지),57360,242793,24071565621724.184,130136685086328.53,154208250708052.72,426650987075.28125,0.27590859657055256
17,departure_time,departure_time == Afternoon,명목(수준vs나머지),47794,252359,20934116006748.03,133283164644022.02,154217280650770.06,417621044357.9375,0.270069072233966
18,source_city,source_city == Delhi,명목(수준vs나머지),61343,238810,26847158685988.137,127498067107815.7,154345225793803.84,289675901324.15625,0.18732892648987465
19,departure_time,departure_time == Night,명목(수준vs나머지),48015,252138,26782420966058.15,127582709640176.97,154365130606235.12,269771088892.875,0.17445679205380485
20,arrival_time,arrival_time == Afternoon,명목(수준vs나머지),38139,262014,15918244817683.0,138466033924323.66,154384278742006.66,250622953121.34375,0.1620739887140498
21,departure_time,departure_time == Late_Night,명목(수준vs나머지),1306,298847,244239239929.9395,154214330666989.88,154458569906919.8,176331788208.1875,0.1140310410361538
22,arrival_time,arrival_time == Morning,명목(수준vs나머지),62735,237418,33958560167268.707,120533627837145.5,154492188004414.22,142713690713.78125,0.09229073718115065
23,destination_city,destination_city == Kolkata,명목(수준vs나머지),49534,250619,27941096323285.406,126625898134573.9,154566994457859.3,67907237268.6875,0.04391456037691329
24,arrival_time,arrival_time == Night,명목(수준vs나머지),91538,208615,49686040628695.26,104884860175175.66,154570900803870.9,64000891257.09375,0.04138838681016227
25,source_city,source_city == Chennai,명목(수준vs나머지),38700,261453,21421073373950.68,133159513491811.75,154580586865762.44,54314829365.5625,0.03512456034837947
26,destination_city,destination_city == Chennai,명목(수준vs나머지),40368,259785,21707097535497.13,132875035711816.45,154582133247313.6,52768447814.40625,0.03412453930901215
27,departure_time,departure_time == Morning,명목(수준vs나머지),71146,229007,37534025047615.64,117049661582358.97,154583686629974.62,51215065153.375,0.033119990760138086
28,source_city,source_city == Kolkata,명목(수준vs나머지),46347,253806,25463990645724.684,129130695558050.67,154594686203775.34,40215491352.65625,0.02600673645587689
29,destination_city,destination_city == Bangalore,명목(수준vs나머지),51068,249085,27655767129426.16,126948609718693.36,154604376848119.53,30524847008.46875,0.019739946592814035
30,source_city,source_city == Mumbai,명목(수준vs나머지),60896,239257,33326944551583.43,121280987751190.36,154607932302773.78,26969392354.21875,0.017440689041462662
31,source_city,source_city == Hyderabad,명목(수준vs나머지),40806,259347,19251258526639.293,135358197083855.69,154609455610494.97,25446084633.03125,0.016455589491174337
32,departure_time,departure_time == Early_Morning,명목(수준vs나머지),66790,233363,33377164818643.695,121234598667228.28,154611763485871.97,23138209256.03125,0.014963122168661264
33,source_city,source_city == Bangalore,명목(수준vs나머지),52061,248092,27951698548948.33,126662029339966.38,154613727888914.7,21173806213.3125,0.013692773094044403
34,destination_city,destination_city == Mumbai,명목(수준vs나머지),59097,241056,32384014402090.93,122233730001579.58,154617744403670.5,17157291457.5,0.011095355103808732
35,destination_city,destination_city == Hyderabad,명목(수준vs나머지),42726,257427,20379641544608.094,134244626965994.4,154624268510602.5,10633184525.5,0.0068763160249967125
36,departure_time,departure_time == Evening,명목(수준vs나머지),65102,235051,34944921688939.785,119680216482180.92,154625138171120.72,9763524007.28125,0.006313920014338435
