분할방식,max_depth,min_samples_leaf,잎 개수,실제 깊이,train_MAE,test_MAE,train_RMSE,test_RMSE,train_R2,test_R2,R2격차,학습초
split_group,2,500,4,2,3891.1,3737.2,6304.8,6132.4,0.9231,0.9256,-0.0025,0.13
split_group,2,200,4,2,3891.1,3737.2,6304.8,6132.4,0.9231,0.9256,-0.0025,0.11
split_group,2,100,4,2,3891.1,3737.2,6304.8,6132.4,0.9231,0.9256,-0.0025,0.11
split_group,2,50,4,2,3891.1,3737.2,6304.8,6132.4,0.9231,0.9256,-0.0025,0.11
split_group,2,20,4,2,3891.1,3737.2,6304.8,6132.4,0.9231,0.9256,-0.0025,0.11
split_group,4,500,16,4,3337.5,3407.9,5611.0,5682.4,0.9391,0.9362,0.003,0.18
split_group,4,200,16,4,3335.1,3408.8,5610.1,5683.2,0.9391,0.9361,0.003,0.18
split_group,4,100,16,4,3335.1,3408.8,5610.1,5683.2,0.9391,0.9361,0.003,0.19
split_group,4,50,16,4,3335.1,3408.8,5610.1,5683.2,0.9391,0.9361,0.003,0.18
split_group,4,20,16,4,3335.1,3408.8,5610.1,5683.2,0.9391,0.9361,0.003,0.18
split_group,6,500,55,6,3057.0,3230.2,5284.9,5472.5,0.946,0.9408,0.0052,0.25
split_group,6,200,61,6,3037.0,3261.1,5266.8,5534.5,0.9464,0.9394,0.0069,0.26
split_group,6,100,62,6,3029.1,3249.3,5259.1,5517.9,0.9465,0.9398,0.0067,0.26
split_group,6,50,64,6,3027.9,3262.3,5258.2,5536.6,0.9465,0.9394,0.0072,0.26
split_group,6,20,64,6,3027.5,3260.1,5258.0,5536.0,0.9465,0.9394,0.0071,0.26
split_group,8,500,116,8,2859.7,3001.0,4993.7,5178.3,0.9518,0.947,0.0048,0.33
split_group,8,200,162,8,2803.6,2928.7,4930.9,5106.1,0.953,0.9485,0.0045,0.34
split_group,8,100,182,8,2778.0,2926.3,4897.2,5105.5,0.9536,0.9485,0.0052,0.34
split_group,8,50,211,8,2763.8,2940.1,4886.3,5120.6,0.9538,0.9482,0.0057,0.34
split_group,8,20,234,8,2752.8,2987.6,4873.9,5201.4,0.9541,0.9465,0.0076,0.33
split_group,12,500,263,12,2597.2,2999.5,4594.6,5167.1,0.9592,0.9472,0.012,0.43
split_group,12,200,489,12,2443.3,2931.0,4372.1,5147.0,0.963,0.9476,0.0154,0.43
split_group,12,100,712,12,2327.3,2901.1,4226.1,5136.8,0.9655,0.9478,0.0176,0.45
split_group,12,50,990,12,2241.7,2955.1,4125.7,5229.3,0.9671,0.9459,0.0212,0.45
split_group,12,20,1410,12,2161.0,3024.8,4024.2,5369.8,0.9687,0.943,0.0257,0.46
split_group,제한없음,500,379,21,2524.5,2929.4,4506.0,5061.0,0.9607,0.9494,0.0114,0.45
split_group,제한없음,200,921,24,2279.9,2869.8,4134.8,5110.2,0.9669,0.9484,0.0186,0.52
split_group,제한없음,100,1839,27,2051.9,2883.1,3792.9,5194.2,0.9722,0.9467,0.0255,0.54
split_group,제한없음,50,3614,29,1743.5,3085.5,3340.9,5572.0,0.9784,0.9386,0.0398,0.57
split_group,제한없음,20,8730,34,1270.1,3221.6,2735.8,5863.0,0.9855,0.932,0.0535,0.61
split_random,2,500,4,2,3853.8,3869.3,6261.4,6286.4,0.9239,0.9235,0.0004,0.11
split_random,2,200,4,2,3853.8,3869.3,6261.4,6286.4,0.9239,0.9235,0.0004,0.11
split_random,2,100,4,2,3853.8,3869.3,6261.4,6286.4,0.9239,0.9235,0.0004,0.11
split_random,2,50,4,2,3853.8,3869.3,6261.4,6286.4,0.9239,0.9235,0.0004,0.11
split_random,2,20,4,2,3853.8,3869.3,6261.4,6286.4,0.9239,0.9235,0.0004,0.11
split_random,4,500,16,4,3336.5,3355.4,5611.8,5634.6,0.9388,0.9385,0.0003,0.19
split_random,4,200,16,4,3333.5,3351.8,5610.5,5632.9,0.9389,0.9385,0.0003,0.19
split_random,4,100,16,4,3333.5,3351.8,5610.5,5632.9,0.9389,0.9385,0.0003,0.19
split_random,4,50,16,4,3333.5,3351.8,5610.5,5632.9,0.9389,0.9385,0.0003,0.19
split_random,4,20,16,4,3333.5,3351.8,5610.5,5632.9,0.9389,0.9385,0.0003,0.2
split_random,6,500,51,6,3034.5,3070.2,5312.9,5372.6,0.9452,0.9441,0.0011,0.27
split_random,6,200,59,6,3021.3,3054.5,5299.4,5354.8,0.9455,0.9445,0.001,0.27
split_random,6,100,62,6,3011.9,3045.4,5291.8,5348.8,0.9456,0.9446,0.001,0.27
split_random,6,50,63,6,3010.8,3043.9,5291.7,5348.6,0.9456,0.9446,0.001,0.27
split_random,6,20,63,6,3009.8,3042.8,5291.3,5348.3,0.9456,0.9446,0.001,0.27
split_random,8,500,105,8,2846.6,2872.7,4988.9,5040.4,0.9517,0.9508,0.0009,0.33
split_random,8,200,154,8,2807.4,2828.1,4942.7,4989.1,0.9526,0.9518,0.0008,0.34
split_random,8,100,178,8,2787.0,2808.5,4915.8,4961.6,0.9531,0.9523,0.0008,0.33
split_random,8,50,210,8,2765.2,2788.0,4890.6,4939.1,0.9536,0.9527,0.0008,0.34
split_random,8,20,230,8,2753.6,2775.2,4884.5,4927.2,0.9537,0.953,0.0007,0.33
split_random,12,500,256,12,2566.5,2605.6,4569.4,4639.1,0.9595,0.9583,0.0011,0.4
split_random,12,200,477,12,2447.2,2489.2,4395.2,4470.5,0.9625,0.9613,0.0012,0.44
split_random,12,100,668,12,2348.3,2389.6,4256.8,4334.1,0.9648,0.9636,0.0012,0.43
split_random,12,50,940,12,2269.4,2313.3,4165.9,4241.3,0.9663,0.9652,0.0011,0.45
split_random,12,20,1352,12,2184.5,2239.3,4062.0,4158.1,0.968,0.9665,0.0014,0.45
split_random,제한없음,500,358,21,2500.8,2539.4,4478.9,4542.3,0.961,0.96,0.001,0.46
split_random,제한없음,200,907,25,2296.4,2341.1,4174.2,4246.3,0.9662,0.9651,0.0011,0.49
split_random,제한없음,100,1798,25,2056.2,2116.5,3802.4,3913.8,0.9719,0.9703,0.0016,0.55
split_random,제한없음,50,3616,29,1797.6,1870.6,3440.6,3563.0,0.977,0.9754,0.0016,0.57
split_random,제한없음,20,8574,32,1308.8,1427.0,2786.2,3017.0,0.9849,0.9824,0.0026,0.61
