변수,수준,n,비율(%),평균,중앙값,표준편차,q25,q75,최솟값,최댓값
class,Economy,206666,68.85,6572.34,5772.0,3743.52,4173.0,7746.0,1105,42349
class,Business,93487,31.15,52540.08,53164.0,12969.31,45185.0,60396.0,12000,123071
stops,zero,36004,12.0,9375.94,4499.0,10623.01,2586.0,8064.0,1105,59573
stops,one,250863,83.58,22900.99,7959.0,23626.07,5136.0,48851.0,1105,123071
stops,two_or_more,13286,4.43,14113.45,8307.0,17664.33,6432.0,13419.0,1966,117307
airline,AirAsia,16098,5.36,4091.07,3276.0,2824.06,2361.0,4589.0,1105,31917
airline,Indigo,43120,14.37,5324.22,4453.0,3268.89,3219.0,6489.0,1105,31952
airline,GO_FIRST,23173,7.72,5652.01,5336.0,2513.87,4205.0,6324.0,1105,32803
airline,SpiceJet,9011,3.0,6179.28,5654.0,2999.63,4197.0,7412.0,1106,34158
airline,Air_India,80892,26.95,23507.02,11520.0,20905.12,5623.0,45693.0,1526,90970
airline,Vistara,127859,42.6,30396.54,15543.0,25637.16,6412.0,55377.0,1714,123071
source_city,Delhi,61343,20.44,18951.33,6840.0,20920.41,4496.0,35490.0,1998,117307
source_city,Hyderabad,40806,13.6,20155.62,6855.0,21720.65,4593.0,41314.0,1543,115211
source_city,Mumbai,60896,20.29,21483.82,7413.0,23394.13,4658.0,45693.0,1890,114523
source_city,Bangalore,52061,17.34,21469.46,7488.0,23171.39,4687.0,43865.0,1603,111883
source_city,Chennai,38700,12.89,21995.34,7846.0,23527.23,4672.0,45185.0,1105,114704
source_city,Kolkata,46347,15.44,21746.24,7958.0,23439.97,5853.0,49207.0,2436,123071
destination_city,Delhi,57360,19.11,18436.77,6521.0,20485.73,4439.0,32923.0,2051,123071
destination_city,Bangalore,51068,17.01,21593.96,7425.0,23271.41,4727.75,44144.0,1443,114523
destination_city,Mumbai,59097,19.69,21372.53,7496.0,23409.19,4792.0,44025.0,1830,115211
destination_city,Hyderabad,42726,14.23,20427.66,7548.0,21840.23,4589.0,41064.0,1105,114705
destination_city,Kolkata,49534,16.5,21959.56,7767.0,23750.59,5293.25,49725.0,2056,117307
destination_city,Chennai,40368,13.45,21953.32,7900.0,23189.3,4672.0,45257.0,1543,111964
departure_time,Early_Morning,66790,22.25,20370.68,7212.0,22354.88,4757.0,42424.0,1105,117307
departure_time,Morning,71146,23.7,21630.76,8112.0,22968.91,5208.0,43865.0,1105,123071
departure_time,Afternoon,47794,15.92,18179.2,6663.0,20928.84,4593.0,27976.0,1105,111437
departure_time,Evening,65102,21.69,21232.36,7425.0,23168.52,4593.0,42521.0,1105,116562
departure_time,Night,48015,16.0,23062.15,7813.0,23617.88,4731.0,49553.0,1105,115211
departure_time,Late_Night,1306,0.44,9295.3,4499.0,13680.52,3393.0,6459.5,2050,56058
arrival_time,Early_Morning,15417,5.14,14993.14,5800.0,18898.69,3988.0,12108.0,1105,106416
arrival_time,Morning,62735,20.9,22231.08,7687.0,23266.08,4792.0,45257.0,1105,111964
arrival_time,Afternoon,38139,12.71,18494.6,6714.0,20430.01,4542.0,32923.0,1105,115211
arrival_time,Evening,78323,26.09,23044.37,8854.0,23494.64,5395.0,49177.0,1105,117307
arrival_time,Night,91538,30.5,21586.76,7584.0,23298.01,4979.0,44280.0,1105,123071
arrival_time,Late_Night,14001,4.66,11284.91,4867.0,16399.12,3336.0,7488.0,1105,89257
